species_name,data_cleaning_issues,unique_occ_10,alpha_hull,SDM,AIC_issue,Range_unfilling,Realm_ok,CBI_ok,Final_species
Abarema_abbottii,No,No,NA,NA,NA,NA,NA,NA,NA
Abarema_acreana,No,No,NA,NA,NA,NA,NA,NA,NA
Abarema_adenophora,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abarema_alexandri,No,No,NA,NA,NA,NA,NA,NA,NA
Abarema_asplenifolia,No,No,NA,NA,NA,NA,NA,NA,NA
Abarema_auriculata,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abarema_barbouriana,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Abarema_barnebyana,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abarema_brachystachya,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abarema_callejasii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abarema_campestris,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abarema_centiflora,No,No,NA,NA,NA,NA,NA,NA,NA
Abarema_cochleata,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abarema_cochliocarpos,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abarema_commutata,No,No,NA,NA,NA,NA,NA,NA,NA
Abarema_curvicarpa,No,No,NA,NA,NA,NA,NA,NA,NA
Abarema_ferruginea,No,No,NA,NA,NA,NA,NA,NA,NA
Abarema_filamentosa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abarema_floribunda,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abarema_gallorum,No,No,NA,NA,NA,NA,NA,NA,NA
Abarema_ganymedea,No,No,NA,NA,NA,NA,NA,NA,NA
Abarema_glauca,No,No,NA,NA,NA,NA,NA,NA,NA
Abarema_idiopoda,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abarema_josephi,No,No,NA,NA,NA,NA,NA,NA,NA
Abarema_jupunba,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Abarema_killipii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abarema_laeta,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Abarema_langsdorffii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abarema_lehmannii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abarema_leucophylla,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abarema_levelii,No,No,NA,NA,NA,NA,NA,NA,NA
Abarema_limae,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abarema_longipedunculata,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Abarema_macradenia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abarema_mataybifolia,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Abarema_microcalyx,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abarema_nipensis,No,No,NA,NA,NA,NA,NA,NA,NA
Abarema_obovalis,No,No,NA,NA,NA,NA,NA,NA,NA
Abarema_obovata,No,No,NA,NA,NA,NA,NA,NA,NA
Abarema_oppositifolia,No,No,NA,NA,NA,NA,NA,NA,NA
Abarema_oxyphyllidia,No,No,NA,NA,NA,NA,NA,NA,NA
Abarema_piresii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abarema_racemiflora,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abarema_turbinata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abarema_villifera,No,No,NA,NA,NA,NA,NA,NA,NA
Abarema_villosa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abarema_zolleriana,No,Yes,Yes,Yes,No,No,NA,NA,NA
Abatia_mexicana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abatia_parviflora,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abatia_rugosa,No,No,NA,NA,NA,NA,NA,NA,NA
Abatia_spicata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_alba,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_amabilis,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abies_balsamea,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_beshanzuensis,No,No,NA,NA,NA,NA,NA,NA,NA
Abies_bracteata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_cephalonica,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_chensiensis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_cilicica,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_concolor,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abies_delavayi,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abies_densa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_durangensis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_fabri,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_fargesii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_firma,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Abies_forrestii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_fraseri,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_grandis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_guatemalensis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_hickelii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_hidalgensis,No,No,NA,NA,NA,NA,NA,NA,NA
Abies_holophylla,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_homolepis,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abies_jaliscana,No,No,NA,NA,NA,NA,NA,NA,NA
Abies_kawakamii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_koreana,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abies_lasiocarpa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_magnifica,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_mariesii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_nebrodensis,No,Yes,Yes,Yes,No,No,NA,NA,NA
Abies_nephrolepis,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abies_nordmanniana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_numidica,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_pindrow,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_pinsapo,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abies_procera,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_recurvata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_religiosa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_sachalinensis,No,Yes,Yes,No,NA,NA,NA,NA,NA
